Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Gastric cancer,2/149,0.0008108933574650148,0.004054466787325,0,0,67.50680272108843,480.47116302366464,MUC2;REG4
KEGG_2021_Human,Renin secretion,1/69,0.0205246718159305,0.0377700439218537,0,0,58.60588235294118,227.74993771071075,CLCA1
KEGG_2021_Human,Amoebiasis,1/102,0.030216035137483,0.0377700439218537,0,0,39.3920792079208,137.84795382798865,MUC2
KEGG_2021_Human,Pancreatic secretion,1/102,0.030216035137483,0.0377700439218537,0,0,39.3920792079208,137.84795382798865,CLCA1
KEGG_2021_Human,Estrogen signaling pathway,1/137,0.040407308005575,0.040407308005575,0,0,29.20294117647059,93.70478036325976,TFF1
